----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
     time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo 
03-03 21:53:09| 13   0  87   0   0| 608M   21G 2096k 1318M| 104     0 |   0     0 |   0     0 |1081    70 |0.68 0.47 0.21|1.0   0   0|   0     0 |   0     0 |  2    1    0    3    0 
03-03 21:53:10| 13   0  87   0   0| 612M   21G 2096k 1318M|  52     0 |   0     0 |   0     0 |1085    90 |0.68 0.47 0.21|1.0   0   0|   0     0 |   0     0 |  2    1    0    3    0 
03-03 21:53:11| 12   0  87   0   0| 626M   21G 2096k 1318M| 104     0 |   0     0 |   0     0 |1073    69 |0.70 0.48 0.21|1.0   0   0|   0     0 |   0     0 |  2    1    0    3    0 
03-03 21:53:12| 12   0  87   0   0| 629M   21G 2096k 1318M|  52     0 |   0     0 |   0     0 |1081    77 |0.70 0.48 0.21|1.0   0   0|   0     0 |   0     0 |  2    1    0    3    0 
03-03 21:53:13| 12   1  85   1   0| 636M   21G 2096k 1318M| 194    42 |   0   103M|   0   658 |2098  1034 |0.70 0.48 0.21|1.0   0   0|   0     0 |   0     0 |  2    1    0    3    0 
03-03 21:53:14| 12   1  87   0   0| 663M   21G 2096k 1326M| 142    90 |   0    16M|   0  19.0 |1343   196 |0.70 0.48 0.21|1.0   0 1.0|   0     0 |   0     0 |  2    1    0    3    0 
03-03 21:53:15|  3  10  87   0   0| 652M   21G 2096k 1327M| 194    90 |   0  4098B|   0  1.00 |2368   525 |0.70 0.48 0.21|1.0   0 3.0|   0     0 |   0     0 |  2    1    0    3    0 
03-03 21:53:16|  0  13  88   0   0| 652M   21G 2096k 1327M|  52     0 |   0     0 |   0     0 |1676   361 |0.73 0.49 0.22|1.0   0   0|   0     0 |   0     0 |  2    1    0    3    0 
03-03 21:53:17|  7   7  85   0   0| 423M   22G 2096k 1300M| 104     0 |  88k 3368k|8.00   445 |4183  4025 |0.73 0.49 0.22|1.0   0  48|   0     0 |   0     0 |  2    1    0    3    0 
03-03 21:53:18| 11   1  87   0   0| 423M   22G 2096k 1328M|  52     0 |   0  2635k|   0   550 |2083  2122 |0.73 0.49 0.22|1.0   0 3.0|   0     0 |   0     0 |  2    1    0    3    0 
03-03 21:53:19| 11   1  88   0   0| 423M   22G 2096k 1365M| 104     0 |  76k 2508k|4.00   461 |2039  1694 |0.73 0.49 0.22|1.0   0 5.0|   0     0 |   0     0 |  2    1    0    3    0 
03-03 21:53:20| 12   1  88   0   0| 423M   22G 2096k 1405M|  52     0 |  12k  761k|3.00   116 |1480   759 |0.73 0.49 0.22|1.0   0 2.0|   0     0 |   0     0 |  2    1    0    3    0 
03-03 21:53:21| 10   2  87   0   0| 424M   21G 2096k 1421M| 194    90 |   0  4638k|   0   799 |2885  3267 |0.75 0.50 0.22|1.0   0 2.0|   0     0 |   0     0 |  2    1    0    3    0 
03-03 21:53:22| 10   2  88   0   0| 425M   21G 2096k 1434M|  52     0 | 112k 8887k|28.0  1103 |3127  3980 |0.75 0.50 0.22|2.0   0 2.0|   0     0 |   0     0 |  2    1    0    3    0 
03-03 21:53:23| 10   2  87   0   0| 426M   21G 2096k 1446M| 104     0 | 228k 3674k|57.0   493 |2395  2253 |0.75 0.50 0.22|1.0   0 5.0|   0     0 |   0     0 |  2    1    0    3    0 
03-03 21:53:24| 10   2  88   0   0| 498M   21G 2096k 1461M|  52     0 |3452k 2646k| 104   457 |2301  2283 |0.75 0.50 0.22|1.0   0 5.0|   0     0 |   0     0 |  2    1    0    3    0 
03-03 21:53:25| 10   2  87   0   0| 575M   21G 2096k 1496M| 104     0 |8192B   13M|1.00   257 |1362   342 |0.75 0.50 0.22|1.0   0 1.0|   0     0 |   0     0 |  2    1    0    3    0 
03-03 21:53:26| 10   3  87   0   0| 530M   21G 2096k 1488M|  52     0 |   0  1625k|   0  52.0 |1569   489 |0.77 0.51 0.23|1.0   0 4.0|   0     0 |   0     0 |  2    1    0    3    0 
03-03 21:53:27| 11   2  87   0   0| 471M   21G 2096k 1462M| 104     0 |   0  8478k|   0  14.0 |1393   391 |0.77 0.51 0.23|1.0   0 5.0|   0     0 |   0     0 |  2    1    0    3    0 
03-03 21:53:28| 10   3  87   0   0| 502M   21G 2096k 1488M|  52     0 |   0  7734k|   0   448 |1733   433 |0.77 0.51 0.23|1.0   0 1.0|   0     0 |   0     0 |  2    1    0    3    0 
03-03 21:53:29| 10   2  88   0   0| 575M   21G 2096k 1497M| 104     0 |   0  9137k|   0  34.0 |1287   321 |0.77 0.51 0.23|1.0   0 1.0|   0     0 |   0     0 |  2    1    0    3    0 
03-03 21:53:30|  9   3  87   0   0| 542M   21G 2096k 1488M|  52     0 |   0  1258k|   0  42.0 |1479   454 |0.77 0.51 0.23|1.0   0 4.0|   0     0 |   0     0 |  2    1    0    3    0 
03-03 21:53:31| 11   2  87   0   0| 479M   21G 2096k 1462M| 104     0 |   0  8479k|   0  14.0 |1361   392 |0.79 0.52 0.23|1.0   0 5.0|   0     0 |   0     0 |  2    1    0    3    0 
03-03 21:53:32| 10   3  87   0   0| 512M   21G 2096k 1488M|  52     0 |   0  3246k|   0   142 |1374   410 |0.79 0.52 0.23|1.0   0 1.0|   0     0 |   0     0 |  2    1    0    3    0 
03-03 21:53:33| 10   2  87   0   0| 576M   21G 2096k 1497M| 272    90 |   0  9129k|   0  34.0 |1283   329 |0.79 0.52 0.23|1.0   0 1.0|   0     0 |   0     0 |  2    1    0    3    0 
03-03 21:53:34| 10   3  87   0   0| 433M   21G 2096k 1488M|  52     0 |   0  4122k|   0   166 |1548   532 |0.79 0.52 0.23|1.0   0 5.0|   0     0 |   0     0 |  2    1    0    3    0 
03-03 21:53:35| 10   3  87   0   0| 566M   21G 2096k 1488M| 104     0 |   0   655k|   0  21.0 |1244   318 |0.79 0.52 0.23|1.0   0   0|   0     0 |   0     0 |  2    1    0    3    0 
